Equtorial Upper 300m temperature Average anomaly based on 1981-2010 Climatology (deg C)
YR    MON   130E-80W   160E-80W   180W-100W 
1979    1      .56       .49        .39
1979    2      .83       .85        .97
1979    3      .38       .36        .31
1979    4      .01      -.09       -.21
1979    5      .17       .12        .06
1979    6      .24       .25        .35
1979    7      .14       .09        .19
1979    8      .34       .34        .49
1979    9      .71       .79        .91
1979   10      .63       .65        .63
1979   11      .66       .81       1.06
1979   12      .77       .90        .92
1980    1      .58       .80        .83
1980    2      .48       .56        .62
1980    3      .46       .50        .50
1980    4      .51       .64        .82
1980    5      .63       .80       1.14
1980    6      .75       .95       1.17
1980    7      .21       .22        .27
1980    8      .14       .07        .04
1980    9      .05      -.11       -.26
1980   10      .18       .05        .02
1980   11      .41       .37        .35
1980   12      .46       .46        .61
1981    1      .33       .26        .36
1981    2      .26       .21        .30
1981    3      .64       .73       1.02
1981    4      .53       .63        .77
1981    5      .23       .26        .24
1981    6     -.11      -.19       -.22
1981    7     -.38      -.51       -.66
1981    8     -.29      -.50       -.59
1981    9      .18       .05        .14
1981   10      .26       .20        .25
1981   11      .09      -.02        .02
1981   12      .10      -.10       -.22
1982    1      .33       .22        .21
1982    2      .59       .53        .56
1982    3      .74       .78        .92
1982    4      .69       .79        .93
1982    5      .72       .90        .96
1982    6      .76       .89       1.01
1982    7      .79       .95       1.11
1982    8     1.04      1.28       1.61
1982    9     1.15      1.53       1.86
1982   10     1.33      1.83       2.07
1982   11     1.20      1.74       1.92
1982   12      .80      1.26       1.45
1983    1     -.10       .15        .05
1983    2     -.66      -.56       -.81
1983    3     -.94      -.83       -.95
1983    4     -.12       .15        .23
1983    5     -.36      -.12       -.32
1983    6     -.79      -.69      -1.12
1983    7    -1.07     -1.06      -1.51
1983    8    -1.23     -1.29      -1.66
1983    9    -1.54     -1.73      -2.15
1983   10    -1.63     -1.83      -2.25
1983   11    -1.36     -1.54      -1.81
1983   12     -.96     -1.13      -1.36
1984    1     -.70      -.86       -.87
1984    2     -.61      -.82       -.90
